"day","dish_name","meal_name","ingredient","weight","recipe"
"Dzień 1","Jednogarnkowe danie z ziemniakami, cukinią i indykiem","Obiad","Cukinia","200 g","Cukinię i ziemniaki obierz i pokrój w talarki. W garnku lub głębokiej patelni rozgrzewamy olej. Dodaj mięso mielone i podsmaż do zarumienienia (ok. 5 minut). Następnie dodaj pokrojone warzywa i smaż całość przez kolejne 5 minut, dokładnie wymieszaj. Dopraw solą, pieprzem, oregano, papryką. Zalej całość do powierzchni warzyw woda/bulionem. Doprowadź do wrzenia i zmniejsz ogień. Danie gotuj na wolnym ogniu, pod częściowym przykryciem przez 20-25 minut. Na koniec posyp posiekaną natką pietruszki lub bazylią."
"Dzień 1","Jednogarnkowe danie z ziemniakami, cukinią i indykiem","Obiad","Por","50 g","Cukinię i ziemniaki obierz i pokrój w talarki. W garnku lub głębokiej patelni rozgrzewamy olej. Dodaj mięso mielone i podsmaż do zarumienienia (ok. 5 minut). Następnie dodaj pokrojone warzywa i smaż całość przez kolejne 5 minut, dokładnie wymieszaj. Dopraw solą, pieprzem, oregano, papryką. Zalej całość do powierzchni warzyw woda/bulionem. Doprowadź do wrzenia i zmniejsz ogień. Danie gotuj na wolnym ogniu, pod częściowym przykryciem przez 20-25 minut. Na koniec posyp posiekaną natką pietruszki lub bazylią."
"Dzień 1","Jednogarnkowe danie z ziemniakami, cukinią i indykiem","Obiad","Oliwa z oliwek","10 g","Cukinię i ziemniaki obierz i pokrój w talarki. W garnku lub głębokiej patelni rozgrzewamy olej. Dodaj mięso mielone i podsmaż do zarumienienia (ok. 5 minut). Następnie dodaj pokrojone warzywa i smaż całość przez kolejne 5 minut, dokładnie wymieszaj. Dopraw solą, pieprzem, oregano, papryką. Zalej całość do powierzchni warzyw woda/bulionem. Doprowadź do wrzenia i zmniejsz ogień. Danie gotuj na wolnym ogniu, pod częściowym przykryciem przez 20-25 minut. Na koniec posyp posiekaną natką pietruszki lub bazylią."
"Dzień 1","Jednogarnkowe danie z ziemniakami, cukinią i indykiem","Obiad","Sól","0.4 g","Cukinię i ziemniaki obierz i pokrój w talarki. W garnku lub głębokiej patelni rozgrzewamy olej. Dodaj mięso mielone i podsmaż do zarumienienia (ok. 5 minut). Następnie dodaj pokrojone warzywa i smaż całość przez kolejne 5 minut, dokładnie wymieszaj. Dopraw solą, pieprzem, oregano, papryką. Zalej całość do powierzchni warzyw woda/bulionem. Doprowadź do wrzenia i zmniejsz ogień. Danie gotuj na wolnym ogniu, pod częściowym przykryciem przez 20-25 minut. Na koniec posyp posiekaną natką pietruszki lub bazylią."
"Dzień 1","Jednogarnkowe danie z ziemniakami, cukinią i indykiem","Obiad","Pieprz czarny","0.4 g","Cukinię i ziemniaki obierz i pokrój w talarki. W garnku lub głębokiej patelni rozgrzewamy olej. Dodaj mięso mielone i podsmaż do zarumienienia (ok. 5 minut). Następnie dodaj pokrojone warzywa i smaż całość przez kolejne 5 minut, dokładnie wymieszaj. Dopraw solą, pieprzem, oregano, papryką. Zalej całość do powierzchni warzyw woda/bulionem. Doprowadź do wrzenia i zmniejsz ogień. Danie gotuj na wolnym ogniu, pod częściowym przykryciem przez 20-25 minut. Na koniec posyp posiekaną natką pietruszki lub bazylią."
"Dzień 1","Jednogarnkowe danie z ziemniakami, cukinią i indykiem","Obiad","Papryka słodka mielona","2 g","Cukinię i ziemniaki obierz i pokrój w talarki. W garnku lub głębokiej patelni rozgrzewamy olej. Dodaj mięso mielone i podsmaż do zarumienienia (ok. 5 minut). Następnie dodaj pokrojone warzywa i smaż całość przez kolejne 5 minut, dokładnie wymieszaj. Dopraw solą, pieprzem, oregano, papryką. Zalej całość do powierzchni warzyw woda/bulionem. Doprowadź do wrzenia i zmniejsz ogień. Danie gotuj na wolnym ogniu, pod częściowym przykryciem przez 20-25 minut. Na koniec posyp posiekaną natką pietruszki lub bazylią."
"Dzień 1","Jednogarnkowe danie z ziemniakami, cukinią i indykiem","Obiad","Pietruszka natka","20 g","Cukinię i ziemniaki obierz i pokrój w talarki. W garnku lub głębokiej patelni rozgrzewamy olej. Dodaj mięso mielone i podsmaż do zarumienienia (ok. 5 minut). Następnie dodaj pokrojone warzywa i smaż całość przez kolejne 5 minut, dokładnie wymieszaj. Dopraw solą, pieprzem, oregano, papryką. Zalej całość do powierzchni warzyw woda/bulionem. Doprowadź do wrzenia i zmniejsz ogień. Danie gotuj na wolnym ogniu, pod częściowym przykryciem przez 20-25 minut. Na koniec posyp posiekaną natką pietruszki lub bazylią."
"Dzień 1","Baton dobra kaloria","Przekąska","Baton dobra kaloria","35 g",""
"Dzień 1","Sałatka z fetą i pomidorkami","Kolacja","Pomidorki koktajlowe","160 g","Pomidorki pokrój, wymieszaj z pokruszoną fetą i natką pietruszki. Dopraw, skrop sokiem z cytryny, oliwą i wymieszaj. Podaj z pieczywem."
"Dzień 1","Sałatka z fetą i pomidorkami","Kolacja","Ser feta","50 g","Pomidorki pokrój, wymieszaj z pokruszoną fetą i natką pietruszki. Dopraw, skrop sokiem z cytryny, oliwą i wymieszaj. Podaj z pieczywem."
"Dzień 1","Sałatka z fetą i pomidorkami","Kolacja","Pietruszka natka","12 g","Pomidorki pokrój, wymieszaj z pokruszoną fetą i natką pietruszki. Dopraw, skrop sokiem z cytryny, oliwą i wymieszaj. Podaj z pieczywem."
"Dzień 1","Sałatka z fetą i pomidorkami","Kolacja","Sok z cytryny","3 g","Pomidorki pokrój, wymieszaj z pokruszoną fetą i natką pietruszki. Dopraw, skrop sokiem z cytryny, oliwą i wymieszaj. Podaj z pieczywem."
"Dzień 1","Sałatka z fetą i pomidorkami","Kolacja","Oliwa z oliwek","5 g","Pomidorki pokrój, wymieszaj z pokruszoną fetą i natką pietruszki. Dopraw, skrop sokiem z cytryny, oliwą i wymieszaj. Podaj z pieczywem."
"Dzień 1","Sałatka z fetą i pomidorkami","Kolacja","Pieprz czarny","2 g","Pomidorki pokrój, wymieszaj z pokruszoną fetą i natką pietruszki. Dopraw, skrop sokiem z cytryny, oliwą i wymieszaj. Podaj z pieczywem."
"Dzień 1","Sałatka z fetą i pomidorkami","Kolacja","Chleb żytni razowy","35 g","Pomidorki pokrój, wymieszaj z pokruszoną fetą i natką pietruszki. Dopraw, skrop sokiem z cytryny, oliwą i wymieszaj. Podaj z pieczywem."
"Dzień 2","Omlet z warzywami","Śniadanie","Jajko","112 g","Cebulę posiekaj, paprykę pokrój w drobną kostkę. Podsmaż na patelni na rozgrzanej oliwie. Na koniec smażenia dodaj pokrojonego w kostkę pomidora. W miseczce roztrzep widelcem jajka, dopraw. Wlej na patelnię i smaż na małym ogniu pod przykryciem, aż do ścięcia. Posyp natką i przewróć omlet na drugą stronę. Gotowy posyp kiełkami/natką i pokruszoną fetą."
"Dzień 2","Omlet z warzywami","Śniadanie","Papryka czerwona słodka","70 g","Cebulę posiekaj, paprykę pokrój w drobną kostkę. Podsmaż na patelni na rozgrzanej oliwie. Na koniec smażenia dodaj pokrojonego w kostkę pomidora. W miseczce roztrzep widelcem jajka, dopraw. Wlej na patelnię i smaż na małym ogniu pod przykryciem, aż do ścięcia. Posyp natką i przewróć omlet na drugą stronę. Gotowy posyp kiełkami/natką i pokruszoną fetą."
"Dzień 2","Omlet z warzywami","Śniadanie","Pomidor czerwony","60 g","Cebulę posiekaj, paprykę pokrój w drobną kostkę. Podsmaż na patelni na rozgrzanej oliwie. Na koniec smażenia dodaj pokrojonego w kostkę pomidora. W miseczce roztrzep widelcem jajka, dopraw. Wlej na patelnię i smaż na małym ogniu pod przykryciem, aż do ścięcia. Posyp natką i przewróć omlet na drugą stronę. Gotowy posyp kiełkami/natką i pokruszoną fetą."
"Dzień 2","Omlet z warzywami","Śniadanie","Cebula","50 g","Cebulę posiekaj, paprykę pokrój w drobną kostkę. Podsmaż na patelni na rozgrzanej oliwie. Na koniec smażenia dodaj pokrojonego w kostkę pomidora. W miseczce roztrzep widelcem jajka, dopraw. Wlej na patelnię i smaż na małym ogniu pod przykryciem, aż do ścięcia. Posyp natką i przewróć omlet na drugą stronę. Gotowy posyp kiełkami/natką i pokruszoną fetą."
"Dzień 2","Omlet z warzywami","Śniadanie","Ser feta","30 g","Cebulę posiekaj, paprykę pokrój w drobną kostkę. Podsmaż na patelni na rozgrzanej oliwie. Na koniec smażenia dodaj pokrojonego w kostkę pomidora. W miseczce roztrzep widelcem jajka, dopraw. Wlej na patelnię i smaż na małym ogniu pod przykryciem, aż do ścięcia. Posyp natką i przewróć omlet na drugą stronę. Gotowy posyp kiełkami/natką i pokruszoną fetą."
"Dzień 2","Omlet z warzywami","Śniadanie","Oliwa z oliwek","10 g","Cebulę posiekaj, paprykę pokrój w drobną kostkę. Podsmaż na patelni na rozgrzanej oliwie. Na koniec smażenia dodaj pokrojonego w kostkę pomidora. W miseczce roztrzep widelcem jajka, dopraw. Wlej na patelnię i smaż na małym ogniu pod przykryciem, aż do ścięcia. Posyp natką i przewróć omlet na drugą stronę. Gotowy posyp kiełkami/natką i pokruszoną fetą."
"Dzień 2","Omlet z warzywami","Śniadanie","Pietruszka natka","12 g","Cebulę posiekaj, paprykę pokrój w drobną kostkę. Podsmaż na patelni na rozgrzanej oliwie. Na koniec smażenia dodaj pokrojonego w kostkę pomidora. W miseczce roztrzep widelcem jajka, dopraw. Wlej na patelnię i smaż na małym ogniu pod przykryciem, aż do ścięcia. Posyp natką i przewróć omlet na drugą stronę. Gotowy posyp kiełkami/natką i pokruszoną fetą."
"Dzień 2","Owsianka z migdałowym jogurtem i nasionami","Lunch","Płatki owsiane","30 g","Płatki zalać wrzątkiem i odstawić do nasiąknięcia. Dodać chia, płatki migdałów, jogurt, kakao, owoce."
"Dzień 2","Owsianka z migdałowym jogurtem i nasionami","Lunch","Nasiona chia","5 g","Płatki zalać wrzątkiem i odstawić do nasiąknięcia. Dodać chia, płatki migdałów, jogurt, kakao, owoce."
"Dzień 2","Owsianka z migdałowym jogurtem i nasionami","Lunch","Płatki migdałowe","10 g","Płatki zalać wrzątkiem i odstawić do nasiąknięcia. Dodać chia, płatki migdałów, jogurt, kakao, owoce."
"Dzień 2","Owsianka z migdałowym jogurtem i nasionami","Lunch","Jogurt naturalny","160 g","Płatki zalać wrzątkiem i odstawić do nasiąknięcia. Dodać chia, płatki migdałów, jogurt, kakao, owoce."
"Dzień 2","Owsianka z migdałowym jogurtem i nasionami","Lunch","Kakao w proszku niesłodzone","5 g","Płatki zalać wrzątkiem i odstawić do nasiąknięcia. Dodać chia, płatki migdałów, jogurt, kakao, owoce."
"Dzień 2","Owsianka z migdałowym jogurtem i nasionami","Lunch","Malina mrożona","70 g","Płatki zalać wrzątkiem i odstawić do nasiąknięcia. Dodać chia, płatki migdałów, jogurt, kakao, owoce."
"Dzień 2","Spaghetti z pulpecikami i makaronem ryżowym","Obiad","Makaron ryżowy","60 g","Makaron ugotuj al dente. Posiekaj drobno natkę pietruszki i czosnek. Przełóż do dużej miski, dodaj mięso. Przypraw solą i pieprzem. Całość wymieszaj rękami. Z masy mięsnej formuj małe kuleczki. Ugotuj do miękkości w bulionie. Na patelni rozgrzej oliwę, wlej pomidory, dopraw ziołami i po ok. 10 min. dodaj odsączone pulpety oraz makaron. Podgrzej kilka chwil. Podawaj posypane natką pietruszki."
"Dzień 2","Spaghetti z pulpecikami i makaronem ryżowym","Obiad","Passata pomidorowa","200 g","Makaron ugotuj al dente. Posiekaj drobno natkę pietruszki i czosnek. Przełóż do dużej miski, dodaj mięso. Przypraw solą i pieprzem. Całość wymieszaj rękami. Z masy mięsnej formuj małe kuleczki. Ugotuj do miękkości w bulionie. Na patelni rozgrzej oliwę, wlej pomidory, dopraw ziołami i po ok. 10 min. dodaj odsączone pulpety oraz makaron. Podgrzej kilka chwil. Podawaj posypane natką pietruszki."
"Dzień 2","Spaghetti z pulpecikami i makaronem ryżowym","Obiad","Wołowina mielona","100 g","Makaron ugotuj al dente. Posiekaj drobno natkę pietruszki i czosnek. Przełóż do dużej miski, dodaj mięso. Przypraw solą i pieprzem. Całość wymieszaj rękami. Z masy mięsnej formuj małe kuleczki. Ugotuj do miękkości w bulionie. Na patelni rozgrzej oliwę, wlej pomidory, dopraw ziołami i po ok. 10 min. dodaj odsączone pulpety oraz makaron. Podgrzej kilka chwil. Podawaj posypane natką pietruszki."
"Dzień 2","Spaghetti z pulpecikami i makaronem ryżowym","Obiad","Czosnek surowy","2 g","Makaron ugotuj al dente. Posiekaj drobno natkę pietruszki i czosnek. Przełóż do dużej miski, dodaj mięso. Przypraw solą i pieprzem. Całość wymieszaj rękami. Z masy mięsnej formuj małe kuleczki. Ugotuj do miękkości w bulionie. Na patelni rozgrzej oliwę, wlej pomidory, dopraw ziołami i po ok. 10 min. dodaj odsączone pulpety oraz makaron. Podgrzej kilka chwil. Podawaj posypane natką pietruszki."
"Dzień 2","Spaghetti z pulpecikami i makaronem ryżowym","Obiad","Oliwa z oliwek","5 g","Makaron ugotuj al dente. Posiekaj drobno natkę pietruszki i czosnek. Przełóż do dużej miski, dodaj mięso. Przypraw solą i pieprzem. Całość wymieszaj rękami. Z masy mięsnej formuj małe kuleczki. Ugotuj do miękkości w bulionie. Na patelni rozgrzej oliwę, wlej pomidory, dopraw ziołami i po ok. 10 min. dodaj odsączone pulpety oraz makaron. Podgrzej kilka chwil. Podawaj posypane natką pietruszki."
"Dzień 2","Spaghetti z pulpecikami i makaronem ryżowym","Obiad","Pietruszka natka","20 g","Makaron ugotuj al dente. Posiekaj drobno natkę pietruszki i czosnek. Przełóż do dużej miski, dodaj mięso. Przypraw solą i pieprzem. Całość wymieszaj rękami. Z masy mięsnej formuj małe kuleczki. Ugotuj do miękkości w bulionie. Na patelni rozgrzej oliwę, wlej pomidory, dopraw ziołami i po ok. 10 min. dodaj odsączone pulpety oraz makaron. Podgrzej kilka chwil. Podawaj posypane natką pietruszki."
"Dzień 2","Spaghetti z pulpecikami i makaronem ryżowym","Obiad","Oregano suszone","2 g","Makaron ugotuj al dente. Posiekaj drobno natkę pietruszki i czosnek. Przełóż do dużej miski, dodaj mięso. Przypraw solą i pieprzem. Całość wymieszaj rękami. Z masy mięsnej formuj małe kuleczki. Ugotuj do miękkości w bulionie. Na patelni rozgrzej oliwę, wlej pomidory, dopraw ziołami i po ok. 10 min. dodaj odsączone pulpety oraz makaron. Podgrzej kilka chwil. Podawaj posypane natką pietruszki."
"Dzień 2","Skyr z bananem i kiwi","Przekąska","Skyr","150 g","Do jogurtu dodać owoce, opcjonalnie cynamon/kakao."
"Dzień 2","Skyr z bananem i kiwi","Przekąska","Banan","60 g","Do jogurtu dodać owoce, opcjonalnie cynamon/kakao."
"Dzień 2","Skyr z bananem i kiwi","Przekąska","Kiwi","35 g","Do jogurtu dodać owoce, opcjonalnie cynamon/kakao."
"Dzień 2","Kanapka caprese","Kolacja","Pomidor czerwony","170 g","Kromki posmaruj masłem. Pokrój mozzarellę i pomidora w plasterki. Ułóż ser i pomidora na przemian na kanapkach. Możesz włożyć kanapkę do airfryera na około 5 minut. Kanapkę posyp przyprawami, dodaj ogórek."
"Dzień 2","Kanapka caprese","Kolacja","Chleb żytni razowy","35 g","Kromki posmaruj masłem. Pokrój mozzarellę i pomidora w plasterki. Ułóż ser i pomidora na przemian na kanapkach. Możesz włożyć kanapkę do airfryera na około 5 minut. Kanapkę posyp przyprawami, dodaj ogórek."
"Dzień 2","Kanapka caprese","Kolacja","Mozzarella light","60 g","Kromki posmaruj masłem. Pokrój mozzarellę i pomidora w plasterki. Ułóż ser i pomidora na przemian na kanapkach. Możesz włożyć kanapkę do airfryera na około 5 minut. Kanapkę posyp przyprawami, dodaj ogórek."
"Dzień 2","Kanapka caprese","Kolacja","Masło","5 g","Kromki posmaruj masłem. Pokrój mozzarellę i pomidora w plasterki. Ułóż ser i pomidora na przemian na kanapkach. Możesz włożyć kanapkę do airfryera na około 5 minut. Kanapkę posyp przyprawami, dodaj ogórek."
"Dzień 2","Kanapka caprese","Kolacja","Ogórek","100 g","Kromki posmaruj masłem. Pokrój mozzarellę i pomidora w plasterki. Ułóż ser i pomidora na przemian na kanapkach. Możesz włożyć kanapkę do airfryera na około 5 minut. Kanapkę posyp przyprawami, dodaj ogórek."
"Dzień 3","Sałatka z camembertem","Śniadanie","Ser camembert","50 g","Z octu balsamicznego, oliwy i miodu przygotować sos. Na talerz wyłożyć liście szpinaku, kawałki szynki, kawałki gruszki. Dodać pokrojony w kostkę ser, połówki pomidorków. Sałatkę polać wcześniej przygotowanym sosem, podać z pieczywem/grzanką."
"Dzień 3","Sałatka z camembertem","Śniadanie","Roszponka","25 g","Z octu balsamicznego, oliwy i miodu przygotować sos. Na talerz wyłożyć liście szpinaku, kawałki szynki, kawałki gruszki. Dodać pokrojony w kostkę ser, połówki pomidorków. Sałatkę polać wcześniej przygotowanym sosem, podać z pieczywem/grzanką."
"Dzień 3","Sałatka z camembertem","Śniadanie","Gruszka","60 g","Z octu balsamicznego, oliwy i miodu przygotować sos. Na talerz wyłożyć liście szpinaku, kawałki szynki, kawałki gruszki. Dodać pokrojony w kostkę ser, połówki pomidorków. Sałatkę polać wcześniej przygotowanym sosem, podać z pieczywem/grzanką."
"Dzień 3","Sałatka z camembertem","Śniadanie","Ocet balsamiczny","3 g","Z octu balsamicznego, oliwy i miodu przygotować sos. Na talerz wyłożyć liście szpinaku, kawałki szynki, kawałki gruszki. Dodać pokrojony w kostkę ser, połówki pomidorków. Sałatkę polać wcześniej przygotowanym sosem, podać z pieczywem/grzanką."
"Dzień 3","Sałatka z camembertem","Śniadanie","Oliwa z oliwek","10 g","Z octu balsamicznego, oliwy i miodu przygotować sos. Na talerz wyłożyć liście szpinaku, kawałki szynki, kawałki gruszki. Dodać pokrojony w kostkę ser, połówki pomidorków. Sałatkę polać wcześniej przygotowanym sosem, podać z pieczywem/grzanką."
"Dzień 3","Sałatka z camembertem","Śniadanie","Pomidorki koktajlowe","80 g","Z octu balsamicznego, oliwy i miodu przygotować sos. Na talerz wyłożyć liście szpinaku, kawałki szynki, kawałki gruszki. Dodać pokrojony w kostkę ser, połówki pomidorków. Sałatkę polać wcześniej przygotowanym sosem, podać z pieczywem/grzanką."
"Dzień 3","Sałatka z camembertem","Śniadanie","Szynka z indyka","30 g","Z octu balsamicznego, oliwy i miodu przygotować sos. Na talerz wyłożyć liście szpinaku, kawałki szynki, kawałki gruszki. Dodać pokrojony w kostkę ser, połówki pomidorków. Sałatkę polać wcześniej przygotowanym sosem, podać z pieczywem/grzanką."
"Dzień 3","Sałatka z camembertem","Śniadanie","Chleb żytni razowy","35 g","Z octu balsamicznego, oliwy i miodu przygotować sos. Na talerz wyłożyć liście szpinaku, kawałki szynki, kawałki gruszki. Dodać pokrojony w kostkę ser, połówki pomidorków. Sałatkę polać wcześniej przygotowanym sosem, podać z pieczywem/grzanką."
"Dzień 3","Papryka czerwona słodka","Lunch","Papryka czerwona słodka","100 g",""
"Dzień 3","Ser camembert","Lunch","Ser camembert","30 g",""
"Dzień 3","Roszponka","Lunch","Roszponka","25 g",""
"Dzień 3","Bułka żytnia","Lunch","Bułka żytnia","40 g",""
"Dzień 3","Ogórek","Lunch","Ogórek","100 g",""
"Dzień 3","Zupa kalafiorowa","Obiad","Ziemniak","150 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Marchew","80 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Por","50 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Pietruszka","80 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Mięso z piersi indyka","100 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Pieprz czarny","2 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Liść laurowy","0 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Koper","18 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Kalafior","400 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Curry","2 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Zupa kalafiorowa","Obiad","Oliwa z oliwek","10 g","Podsmażyć krótko por i pokrojone obrane warzywa na oliwie, zalać wodą lub bulionem (ok. 2 szklanki). Ugotować włoszczyznę wraz z piersią indyka. Dodać ziele angielskie, pieprz ziarnisty, liście laurowe, koperek. Po kwadransie dodać kalafiora i szczyptę curry (opcjonalnie). Gotować na małym ogniu pół godziny. W razie potrzeby doprawić."
"Dzień 3","Czekolada gorzka 85% kakao","Przekąska","Czekolada gorzka 85% kakao","20 g",""
"Dzień 3","Mozzarella zapiekana z papryką i awokado","Kolacja","Mozzarella light","60 g","Pokrój w plastry mozzarellę, awokado i pomidora. Ułóż na przemian na talerzu. Dodaj listki bazylii i przypraw solą i pieprzem. Posyp słonecznik, zapiecz w airfryerze z pieczywem (opcjonalnie)."
"Dzień 3","Mozzarella zapiekana z papryką i awokado","Kolacja","Papryka czerwona słodka","100 g","Pokrój w plastry mozzarellę, awokado i pomidora. Ułóż na przemian na talerzu. Dodaj listki bazylii i przypraw solą i pieprzem. Posyp słonecznik, zapiecz w airfryerze z pieczywem (opcjonalnie)."
